,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.03,79.32,76,5,16.58,PF,1594850166
1,Saint-Augustin,51.23,-58.65,59.81,50,1,8.99,CA,1594850669
2,Lebu,-37.62,-73.65,52.12,91,100,0.6,CL,1594850670
3,Vila Velha,-20.33,-40.29,69.8,88,90,8.05,BR,1594850670
4,Busselton,-33.65,115.33,59.0,94,34,22.93,AU,1594850670
5,Yuli,9.7,10.27,74.37,89,80,5.14,NG,1594850670
6,Hobart,-42.88,147.33,43.0,87,75,6.93,AU,1594850186
7,Pangnirtung,66.15,-65.71,64.4,52,75,19.46,CA,1594850163
8,Bluff,-46.6,168.33,39.0,83,44,3.0,NZ,1594850671
9,Coquimbo,-29.95,-71.34,53.6,76,75,8.05,CL,1594850671
10,Krasnoborsk,61.56,45.93,58.19,94,100,7.54,RU,1594850671
11,Bethel,41.37,-73.41,78.01,65,75,5.82,US,1594850009
12,Rikitea,-23.12,-134.97,74.41,83,100,8.93,PF,1594850148
13,Port Elizabeth,-33.92,25.57,44.6,81,0,4.7,ZA,1594850403
14,Ejido,8.55,-71.24,72.93,63,70,2.84,VE,1594850672
15,Esim,4.87,-2.24,74.23,84,96,6.49,GH,1594850672
16,Hay River,60.82,-115.8,62.6,63,75,5.82,CA,1594850410
17,Nouadhibou,20.93,-17.03,69.8,88,0,14.99,MR,1594850672
18,Tuktoyaktuk,69.45,-133.04,57.2,50,75,11.41,CA,1594850171
19,Vila Franca do Campo,37.72,-25.43,68.0,72,75,10.29,PT,1594850673
20,Te Anau,-45.42,167.72,32.05,94,84,0.65,NZ,1594850673
21,Matara,5.95,80.54,78.53,84,100,6.46,LK,1594850673
22,Arlit,18.74,7.39,96.42,16,0,8.7,NE,1594850673
23,Albany,42.6,-73.97,87.01,47,23,2.06,US,1594850168
24,New Norfolk,-42.78,147.06,43.0,90,100,2.33,AU,1594850674
25,Los Llanos de Aridane,28.66,-17.92,71.6,73,75,13.87,ES,1594850674
26,Vaini,-21.2,-175.2,75.2,83,20,9.17,TO,1594850674
27,Valday,57.97,33.25,51.49,98,100,8.37,RU,1594850674
28,Fomboni,-12.28,43.74,77.04,75,46,24.87,KM,1594850675
29,Alanya,36.54,32.0,75.2,94,0,2.24,TR,1594850675
30,Ponta do Sol,32.67,-17.1,69.8,64,20,18.34,PT,1594850668
31,Rawson,-43.3,-65.1,43.97,62,99,6.58,AR,1594850444
32,Butaritari,3.07,172.79,82.69,75,78,15.14,KI,1594850159
33,Saldanha,-33.01,17.94,46.4,75,0,4.7,ZA,1594850676
34,Olafsvik,64.89,-23.71,49.96,91,100,19.13,IS,1594850676
35,Longyearbyen,78.22,15.64,44.6,75,75,2.24,SJ,1594850499
36,Russell,32.35,-85.2,89.6,83,75,5.82,US,1594849958
37,Empangeni,-28.76,31.89,55.45,66,70,3.49,ZA,1594850676
38,Ust-Nera,64.57,143.2,61.66,49,79,2.73,RU,1594850677
39,Castro,-24.79,-50.01,53.74,86,2,4.76,BR,1594850677
40,Ketchikan,55.34,-131.65,57.2,100,90,17.22,US,1594850089
41,Khani,41.96,42.96,73.4,88,75,3.36,GE,1594850677
42,Ushuaia,-54.8,-68.3,30.2,92,20,5.82,AR,1594850152
43,Saskylakh,71.92,114.08,63.37,50,99,20.24,RU,1594850183
44,Vanimo,-2.67,141.3,78.73,84,13,4.85,PG,1594850177
45,Asău,46.43,26.4,57.99,86,46,4.72,RO,1594850189
46,Chui,-33.7,-53.46,42.89,69,0,4.09,UY,1594850678
47,Puerto Ayora,-0.74,-90.35,72.0,80,91,3.0,EC,1594850678
48,East London,-33.02,27.91,55.06,55,0,6.15,ZA,1594850678
49,Port Hardy,50.7,-127.42,64.4,82,75,9.17,CA,1594850420
50,Mount Isa,-20.73,139.5,44.6,56,1,9.17,AU,1594850679
51,Chokurdakh,70.63,147.92,36.55,90,100,13.09,RU,1594850679
52,Qaanaaq,77.48,-69.36,42.33,83,100,7.0,GL,1594850679
53,Lorengau,-2.02,147.27,82.76,67,59,4.34,PG,1594850181
54,Rincon,32.3,-81.24,95.0,50,75,11.41,US,1594850680
55,Cabo San Lucas,22.89,-109.91,93.2,44,5,5.82,MX,1594850400
56,Hilo,19.73,-155.09,82.4,65,90,9.17,US,1594850680
57,Kapaa,22.08,-159.32,81.0,74,40,11.41,US,1594850400
58,Isangel,-19.55,169.27,73.4,94,20,3.36,VU,1594850177
59,Dingle,11.0,122.67,75.65,91,56,4.83,PH,1594850680
60,Port Alfred,-33.59,26.89,53.44,42,0,4.79,ZA,1594850681
61,Acarí,-15.43,-74.62,71.71,49,3,4.72,PE,1594850681
62,Provideniya,64.38,-173.3,48.2,81,90,8.95,RU,1594850179
63,Mahébourg,-20.41,57.7,71.6,73,75,11.41,MU,1594850178
64,San Patricio,19.22,-104.7,86.0,74,75,7.0,MX,1594850681
65,Cape Town,-33.93,18.42,46.4,81,0,2.24,ZA,1594850682
66,Codrington,-38.27,141.97,40.01,92,40,4.72,AU,1594850166
67,Mataura,-46.19,168.86,39.0,83,12,3.0,NZ,1594849943
68,La Ronge,55.1,-105.28,62.6,72,90,18.34,CA,1594850682
69,Katherine,-14.47,132.27,59.0,62,33,9.17,AU,1594850682
70,Alcañiz,41.05,-0.13,72.0,49,0,1.99,ES,1594850682
71,Khartoum,15.55,32.53,86.0,51,68,18.34,SD,1594850683
72,Leningradskiy,69.38,178.42,45.86,78,93,13.47,RU,1594849959
73,Port Macquarie,-31.43,152.92,57.0,66,28,5.01,AU,1594850593
74,Verkhnetulomskiy,68.61,31.8,51.8,81,1,4.47,RU,1594850683
75,Dunedin,-45.87,170.5,44.01,85,24,6.17,NZ,1594850683
76,Mossamedes,-15.2,12.15,65.7,88,24,7.63,AO,1594850222
77,Hong Kong,22.29,114.16,86.0,85,100,8.01,HK,1594850522
78,Bandarbeyla,9.49,50.81,80.82,67,50,31.0,SO,1594850684
79,Bintulu,3.17,113.03,75.2,94,40,6.93,MY,1594850209
80,Bredasdorp,-34.53,20.04,39.2,86,35,1.12,ZA,1594850684
81,Avarua,-21.21,-159.78,73.4,60,84,6.93,CK,1594850175
82,Kavieng,-2.57,150.8,82.71,69,2,3.2,PG,1594850685
83,Pisco,-13.7,-76.22,64.4,77,20,6.93,PE,1594850685
84,Anloga,5.79,0.9,75.2,88,20,10.29,GH,1594850685
85,Punta Arenas,-53.15,-70.92,33.8,86,75,6.93,CL,1594850685
86,Suffolk,40.87,-72.8,77.0,64,20,6.93,US,1594850685
87,Kathu,7.92,98.33,84.0,94,20,1.12,TH,1594850686
88,Harar,9.31,42.13,61.5,89,100,7.31,ET,1594850686
89,Saint-Louis,16.33,-15.0,87.8,62,15,4.7,SN,1594850686
90,Nhulunbuy,-12.23,136.77,73.4,64,31,6.93,AU,1594850686
91,Ţahţā,26.77,31.5,83.3,19,0,12.55,EG,1594850686
92,College,64.86,-147.8,70.0,56,1,5.82,US,1594850687
93,Sigli,5.38,95.96,78.48,76,92,3.76,ID,1594850687
94,Lázaro Cárdenas,17.96,-102.2,86.9,66,82,8.3,MX,1594850687
95,Eydhafushi,5.1,73.07,83.8,77,100,13.87,MV,1594850687
96,Storm Lake,42.64,-95.21,79.0,60,1,6.93,US,1594850688
97,Kaitangata,-46.28,169.85,44.01,85,45,4.41,NZ,1594850688
98,Narsaq,60.92,-46.05,57.2,54,5,10.29,GL,1594850469
99,Santiago del Estero,-27.8,-64.26,57.2,42,46,8.43,AR,1594850688
100,Departamento de Maldonado,-34.67,-54.92,46.4,81,0,6.93,UY,1594850606
101,Khorinsk,52.17,109.77,62.37,88,58,4.94,RU,1594850689
102,Tuatapere,-46.13,167.68,39.0,83,70,3.0,NZ,1594850165
103,Birjand,32.87,59.22,78.8,22,0,13.87,IR,1594850689
104,Mount Gambier,-37.83,140.77,37.4,100,36,6.93,AU,1594850689
105,Jamestown,42.1,-79.24,84.0,51,40,6.93,US,1594850689
106,Caravelas,-17.71,-39.25,72.41,83,9,5.21,BR,1594850018
107,Banikoara,11.3,2.44,73.58,94,100,3.2,BJ,1594850690
108,Farafangana,-22.82,47.83,67.42,87,17,11.83,MG,1594850690
109,Diu,20.71,70.98,79.72,87,100,10.8,IN,1594850402
110,Ouadda,8.08,22.4,68.61,92,100,0.72,CF,1594850690
111,Revelstoke,50.98,-118.2,62.6,72,90,4.7,CA,1594850572
112,Rundu,-17.93,19.77,53.6,23,0,5.82,NA,1594850691
113,Port Lincoln,-34.73,135.87,52.29,76,0,5.44,AU,1594850691
114,Mar del Plata,-38.0,-57.56,48.99,75,0,8.05,AR,1594850691
115,Gao,16.64,1.64,84.36,60,40,10.94,ML,1594850691
116,Airai,-8.93,125.41,54.66,98,82,3.87,TL,1594850213
117,Haines Junction,60.75,-137.51,62.82,46,64,5.77,CA,1594850691
118,Calvinia,-31.47,19.78,41.13,60,0,9.28,ZA,1594850692
119,Palu,-0.89,119.87,75.96,83,100,1.7,ID,1594850692
120,George Town,5.41,100.34,78.8,94,20,4.68,MY,1594850608
121,Nueva Loja,0.08,-76.88,72.23,93,98,1.86,EC,1594850692
122,Berlevåg,70.86,29.09,55.4,87,82,3.36,NO,1594850184
123,Bereket,39.24,55.52,78.06,79,74,16.71,TM,1594850693
124,Hermanus,-34.42,19.23,42.01,89,52,1.01,ZA,1594850693
125,Okhotsk,59.38,143.3,58.86,89,88,8.72,RU,1594850693
126,Iqaluit,63.75,-68.51,60.8,51,20,4.7,CA,1594850411
127,San Cristobal,7.77,-72.22,89.6,49,40,9.17,VE,1594850693
128,Ostrovnoy,68.05,39.51,49.23,79,0,6.87,RU,1594850693
129,Ilulissat,69.22,-51.1,46.4,75,75,3.36,GL,1594850694
130,Upernavik,72.79,-56.15,42.66,90,83,4.61,GL,1594850176
131,Ayan,56.45,138.17,58.01,86,100,11.03,RU,1594850694
132,Muisne,0.6,-80.03,75.81,83,77,9.6,EC,1594850694
